energy,Ac,Ag,Al,Ar,As,At,Au,B,Ba,Be,Bi,Br,C,Ca,Cd,Ce,Cl,Co,Cr,Cs,Cu,Dy,Er,Eu,F,Fe,Fr,Ga,Gd,Ge,H,He,Hf,Hg,Ho,I,In,Ir,K,Kr,La,Li,Lu,Mg,Mn,Mo,N,Na,Nb,Nd,Ne,Ni,O,Os,P,Pa,Pb,Pd,Pm,Po,Pr,Pt,Ra,Rb,Re,Rh,Rn,Ru,S,Sb,Sc,Se,Si,Sm,Sn,Sr,Ta,Tb,Tc,Te,Th,Ti,Tl,Tm,U,V,W,Xe,Y,Yb,Zn,Zr
0.112601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.115605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.378,,,,,,,
0.115606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.893,,,,,,,
0.15,2.434,0.5426,0.1378,0.1427,0.2622,2.249,1.86,0.1243,0.7828,0.119,2.082,0.2899,0.1347,0.1674,0.5593,0.8687,0.148,0.2023,0.1788,0.7589,0.2217,1.189,1.285,1.076,0.1298,0.1964,2.295,0.2387,1.1,0.2491,0.2651,0.1336,1.477,1.909,1.236,0.6978,0.5876,1.74,0.1582,0.2998,0.8239,0.1158,1.433,0.1394,0.1838,0.4208,0.1353,0.1335,0.4023,0.9522,0.137,0.2208,0.1361,1.68,0.1432,2.575,2.014,0.5115,1.005,2.17,0.918,1.795,2.355,0.3187,1.637,0.4916,2.215,0.4647,0.1506,0.6361,0.1619,0.2703,0.1448,1.027,0.6091,0.3369,1.531,1.151,0.4449,0.6492,2.472,0.1649,1.957,1.34,2.591,0.1682,1.581,0.7202,0.3595,1.378,0.2341,0.379
0.2,1.213,0.2972,0.1223,0.1205,0.1719,1.118,0.9214,0.1136,0.4046,0.1089,1.033,0.1838,0.1229,0.1376,0.3038,0.4452,0.1266,0.1476,0.1378,0.3941,0.1559,0.5953,0.6415,0.5425,0.1176,0.146,1.141,0.1619,0.5534,0.1661,0.2429,0.1224,0.7339,0.9456,0.6178,0.3663,0.3167,0.8628,0.1319,0.1872,0.4239,0.106,0.713,0.1245,0.1391,0.2423,0.1233,0.1199,0.2344,0.4844,0.1236,0.1582,0.1237,0.8327,0.125,1.288,0.9985,0.2827,0.5098,1.078,0.4687,0.8896,1.172,0.196,0.8119,0.2742,1.101,0.2618,0.1302,0.3381,0.131,0.1742,0.1275,0.5192,0.326,0.2042,0.7598,0.5775,0.2534,0.3429,1.234,0.1314,0.9696,0.6682,1.298,0.1318,0.7844,0.376,0.2149,0.686,0.1617,0.2237
0.3,0.4859,0.156,0.1042,0.09953,0.115,0.4491,0.3744,0.09862,0.1891,0.09463,0.4163,0.1186,0.1066,0.1116,0.1571,0.2039,0.1054,0.1094,0.1067,0.1863,0.1119,0.2558,0.2724,0.238,0.1015,0.1099,0.4577,0.1123,0.241,0.1131,0.2112,0.1064,0.3054,0.3834,0.2639,0.1771,0.1614,0.3525,0.108,0.1186,0.1961,0.0921,0.2981,0.1065,0.1062,0.1379,0.1068,0.1029,0.1357,0.2178,0.1064,0.1154,0.107,0.3414,0.1055,0.5152,0.4031,0.1506,0.2273,0.4335,0.2126,0.3625,0.4696,0.1219,0.3339,0.1485,0.442,0.144,0.1091,0.1677,0.1052,0.1144,0.1082,0.2296,0.1639,0.1247,0.3149,0.2498,0.1418,0.1679,0.4939,0.1043,0.3923,0.2822,0.5192,0.1034,0.3238,0.1797,0.1289,0.2882,0.1141,0.1318
0.4,0.2749,0.1131,0.09276,0.08776,0.09414,0.2565,0.218,0.08834,0.1265,0.08471,0.2391,0.09563,0.09546,0.09783,0.1129,0.1342,0.09311,0.09311,0.09213,0.1257,0.09413,0.159,0.1672,0.1509,0.09073,0.094,0.2601,0.09325,0.1517,0.09327,0.1893,0.09535,0.1834,0.2224,0.1629,0.1217,0.1149,0.2068,0.09495,0.0948,0.1301,0.08249,0.1799,0.09492,0.09133,0.1047,0.09557,0.09185,0.104,0.1412,0.09502,0.09765,0.09566,0.2011,0.09359,0.2904,0.2323,0.1103,0.1462,0.2483,0.1389,0.2118,0.2662,0.0967,0.1976,0.1097,0.2518,0.1074,0.09665,0.1172,0.09193,0.09299,0.09614,0.1466,0.1156,0.09811,0.1881,0.1562,0.1066,0.1163,0.2789,0.09081,0.2267,0.1722,0.2922,0.08965,0.1925,0.1223,0.1006,0.1749,0.09539,0.1018
0.5,0.1872,0.09321,0.08445,0.07958,0.08259,0.1765,0.153,0.08065,0.09923,0.07739,0.1656,0.08328,0.08715,0.08851,0.0925,0.1041,0.08453,0.08315,0.08281,0.09912,0.08362,0.1181,0.123,0.1139,0.08274,0.08414,0.178,0.08236,0.1139,0.08212,0.1729,0.08707,0.1324,0.1555,0.1205,0.09701,0.09371,0.1463,0.086,0.08226,0.1015,0.07532,0.1305,0.08647,0.08192,0.08848,0.08719,0.08372,0.08831,0.1083,0.08664,0.08698,0.08729,0.1428,0.08511,0.1969,0.1614,0.09134,0.1115,0.1714,0.1071,0.1492,0.1817,0.0836,0.1409,0.09134,0.1728,0.08992,0.08781,0.09453,0.08305,0.08129,0.08748,0.1112,0.09374,0.08443,0.1352,0.1167,0.08968,0.09328,0.1895,0.08191,0.158,0.1261,0.1976,0.08074,0.1378,0.09699,0.08613,0.1274,0.0845,0.08693
0.6,0.1421,0.08153,0.07802,0.07335,0.07483,0.1354,0.1194,0.0746,0.0841,0.07155,0.1277,0.07515,0.08058,0.08148,0.08064,0.08757,0.07795,0.07604,0.07598,0.08431,0.07625,0.09644,0.09968,0.09404,0.07649,0.07704,0.1358,0.07487,0.09371,0.07452,0.1599,0.08054,0.1058,0.121,0.098,0.08313,0.08138,0.1149,0.07922,0.0741,0.0857,0.06968,0.1046,0.07988,0.07509,0.07851,0.08063,0.07736,0.07858,0.0904,0.08006,0.07944,0.0807,0.1125,0.07854,0.1487,0.1248,0.0801,0.09276,0.1318,0.08976,0.1168,0.1383,0.0751,0.1114,0.08035,0.1322,0.07933,0.08102,0.08153,0.07639,0.0735,0.08077,0.09218,0.08113,0.0757,0.1076,0.09562,0.07935,0.08022,0.1435,0.07529,0.1226,0.1018,0.149,0.07414,0.1093,0.08281,0.07703,0.1025,0.07695,0.07756
0.8,0.09804,0.06766,0.06841,0.06419,0.0644,0.09495,0.08603,0.06549,0.06744,0.06286,0.09036,0.06443,0.07076,0.07122,0.0667,0.06962,0.06826,0.06604,0.0662,0.06789,0.06605,0.07393,0.07569,0.07312,0.06717,0.06699,0.09444,0.06466,0.07252,0.06426,0.1405,0.07076,0.0788,0.08679,0.07477,0.06749,0.06707,0.08357,0.06929,0.0634,0.06843,0.06121,0.07829,0.07008,0.06537,0.06619,0.07081,0.06788,0.06642,0.07127,0.07029,0.06891,0.07087,0.08224,0.06884,0.1018,0.0887,0.06669,0.0728,0.09286,0.07105,0.08456,0.09579,0.06412,0.08179,0.06711,0.0923,0.06647,0.07098,0.0667,0.06675,0.06314,0.07082,0.07201,0.06662,0.06447,0.07981,0.07365,0.06674,0.06538,0.09861,0.06572,0.08751,0.07693,0.1016,0.06466,0.08066,0.06696,0.06546,0.0771,0.06656,0.06571
1.0,0.07686,0.05921,0.06146,0.05762,0.05735,0.07538,0.06953,0.0589,0.05803,0.05652,0.07214,0.05728,0.06361,0.06388,0.05826,0.05961,0.06128,0.05906,0.0593,0.05854,0.05901,0.06204,0.06317,0.06186,0.06037,0.05995,0.0745,0.05767,0.0612,0.05727,0.1263,0.06362,0.06502,0.06993,0.06257,0.05841,0.05849,0.06794,0.06216,0.05631,0.05876,0.05503,0.06478,0.06296,0.05852,0.05837,0.06364,0.061,0.05866,0.06072,0.06316,0.0616,0.06372,0.06705,0.06182,0.07937,0.07102,0.05849,0.06188,0.07391,0.0607,0.06857,0.07535,0.05689,0.06688,0.05894,0.07303,0.05846,0.06373,0.05797,0.05985,0.05619,0.06361,0.06106,0.058,0.05714,0.06567,0.06196,0.05876,0.05669,0.07709,0.05891,0.07031,0.06404,0.07896,0.05794,0.06618,0.05785,0.05795,0.06397,0.05941,0.0581
1.25,0.06251,0.05217,0.05496,0.0515,0.05106,0.06189,0.05794,0.05266,0.05058,0.05054,0.05955,0.05094,0.0569,0.05709,0.05129,0.05181,0.05478,0.0527,0.05295,0.05108,0.05261,0.05318,0.05392,0.05331,0.05399,0.0535,0.06087,0.05139,0.05262,0.05101,0.1129,0.05688,0.05505,0.05814,0.05351,0.05111,0.05144,0.05688,0.05556,0.05005,0.0511,0.04921,0.05496,0.05629,0.05224,0.05167,0.05693,0.05454,0.05196,0.05262,0.05646,0.05494,0.05697,0.05625,0.05526,0.0642,0.05876,0.05159,0.0535,0.06087,0.05268,0.05727,0.06141,0.05053,0.05627,0.05204,0.05984,0.05166,0.05697,0.05086,0.05347,0.04999,0.05688,0.05271,0.05095,0.05072,0.05545,0.05321,0.05197,0.04967,0.06251,0.05263,0.05832,0.05455,0.0637,0.05175,0.05577,0.05054,0.05141,0.05439,0.05296,0.0515
1.5,0.05504,0.04754,0.05006,0.04695,0.04661,0.05479,0.05167,0.04791,0.04592,0.04597,0.05285,0.0465,0.05179,0.05207,0.04673,0.04701,0.04994,0.0481,0.04832,0.04641,0.04803,0.04801,0.0486,0.04822,0.04915,0.04883,0.05376,0.04692,0.04759,0.04657,0.1027,0.05173,0.04944,0.05179,0.04828,0.04647,0.04684,0.05083,0.05068,0.04569,0.0464,0.04476,0.04941,0.05129,0.04769,0.04713,0.0518,0.04968,0.04741,0.04769,0.05145,0.05015,0.05185,0.05034,0.05039,0.05637,0.05222,0.04702,0.04849,0.05394,0.04779,0.05112,0.05415,0.04613,0.05038,0.04744,0.0529,0.0471,0.05193,0.04628,0.04878,0.04564,0.05183,0.04773,0.04638,0.0463,0.04977,0.04808,0.0474,0.04518,0.05498,0.04801,0.05187,0.04912,0.05587,0.04722,0.05,0.04594,0.04692,0.04895,0.04834,0.047
2.0,0.04822,0.04209,0.04324,0.04074,0.04093,0.04821,0.0457,0.04108,0.04078,0.03938,0.04659,0.04089,0.04442,0.04524,0.04139,0.04177,0.04328,0.04204,0.04213,0.04121,0.04205,0.04265,0.04317,0.04285,0.04228,0.04265,0.04721,0.04113,0.04228,0.04086,0.08769,0.04422,0.04387,0.04575,0.04289,0.04124,0.04151,0.04501,0.04399,0.0402,0.04122,0.0383,0.04385,0.04426,0.04162,0.04163,0.0445,0.04282,0.04185,0.04236,0.0443,0.04387,0.04459,0.04458,0.04358,0.04927,0.04606,0.04162,0.04308,0.04749,0.04244,0.04522,0.04751,0.04061,0.04463,0.04197,0.04649,0.04164,0.04498,0.04105,0.04243,0.0401,0.0448,0.0424,0.04112,0.04079,0.04413,0.04272,0.04189,0.04009,0.04812,0.0418,0.04581,0.04362,0.04878,0.04115,0.04433,0.04078,0.04137,0.04347,0.04235,0.04146
3.0,0.04409,0.03754,0.03541,0.03384,0.03539,0.04424,0.04201,0.03284,0.03692,0.03138,0.04279,0.03552,0.03562,0.0378,0.03698,0.03792,0.03585,0.0358,0.03559,0.03725,0.03599,0.03905,0.03958,0.03913,0.03422,0.03621,0.04324,0.03538,0.03865,0.03524,0.06921,0.03503,0.0403,0.04207,0.0393,0.03716,0.03715,0.04139,0.03666,0.03501,0.03737,0.03043,0.04028,0.03613,0.03524,0.03675,0.03579,0.03487,0.03686,0.03856,0.03594,0.03745,0.03597,0.041,0.0359,0.04496,0.04234,0.03704,0.03925,0.04362,0.03858,0.0416,0.04348,0.03545,0.04105,0.03728,0.04264,0.03692,0.03715,0.03686,0.03554,0.03476,0.03678,0.03868,0.03686,0.03569,0.04057,0.03908,0.03705,0.03606,0.04396,0.03512,0.0421,0.04002,0.04447,0.03466,0.04075,0.03681,0.03628,0.03989,0.03634,0.03644
4.0,0.04363,0.03606,0.03106,0.03019,0.03296,0.04383,0.04166,0.02798,0.03598,0.02664,0.04242,0.03327,0.03047,0.03395,0.03559,0.03705,0.03188,0.03283,0.03235,0.03625,0.03318,0.03848,0.03907,0.03845,0.0296,0.03312,0.04283,0.0328,0.03802,0.03275,0.05806,0.02949,0.03989,0.04172,0.03877,0.03607,0.03582,0.04104,0.03282,0.03286,0.03646,0.02572,0.03985,0.03159,0.03213,0.03496,0.03073,0.03037,0.03498,0.03776,0.03122,0.03444,0.031,0.04065,0.03172,0.04445,0.04197,0.03552,0.03849,0.04323,0.03774,0.04124,0.04304,0.03335,0.04068,0.03568,0.04224,0.03527,0.03293,0.03567,0.03202,0.03247,0.0324,0.03797,0.03561,0.03365,0.04018,0.03848,0.03532,0.03494,0.04347,0.03173,0.04175,0.03954,0.04392,0.03141,0.04038,0.03577,0.03428,0.03944,0.0336,0.03451
