energy,Ac,Ag,Al,Ar,As,At,Au,B,Ba,Be,Bi,Br,C,Ca,Cd,Ce,Cl,Co,Cr,Cs,Cu,Dy,Er,Eu,F,Fe,Fr,Ga,Gd,Ge,H,He,Hf,Hg,Ho,I,In,Ir,K,Kr,La,Li,Lu,Mg,Mn,Mo,N,Na,Nb,Nd,Ne,Ni,O,Os,P,Pa,Pb,Pd,Pm,Po,Pr,Pt,Ra,Rb,Re,Rh,Rn,Ru,S,Sb,Sc,Se,Si,Sm,Sn,Sr,Ta,Tb,Tc,Te,Th,Ti,Tl,Tm,U,V,W,Xe,Y,Yb,Zn,Zr
0.045183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.045184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0468341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.208,,,,,,,,,,,,,,,,,,
0.0468342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,
0.048518,,,,,,,,,,,,,,,,,,,,,,,,4.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.048519,,,,,,,,,,,,,,,,,,,,,,,,20.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.05,10.27,9.444,0.3681,0.7012,3.635,9.196,7.256,0.1665,13.79,0.1554,8.379,4.264,0.1871,1.019,9.779,15.2,0.6483,2.144,1.55,13.4,2.613,4.227,4.634,18.5,0.2214,1.958,9.525,3.076,3.859,3.335,0.3355,0.1703,5.478,7.504,4.425,12.32,10.3,6.693,0.8679,4.523,14.47,0.1488,5.279,0.3292,1.714,7.037,0.198,0.2804,6.644,16.5,0.2579,2.474,0.2132,6.414,0.4916,11.05,8.041,8.85,17.35,8.802,15.99,6.954,9.85,4.918,6.206,8.448,9.125,7.926,0.5849,11.2,1.087,3.864,0.4385,17.74,10.7,5.306,5.717,4.064,7.521,11.45,10.52,1.213,7.751,4.867,11.21,1.347,5.949,12.72,5.764,5.038,2.892,6.173
0.050239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0502391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0519956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.672,,,,,,,,,,,,,,
